epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4017.32,0.91923,1.13579,1.39539,0.60065,0.79892,0.70775,0.49298,1.05654,1.0613,1.61923,0.008614,0.008614,0.008614
44,4111.56,0.92581,1.13467,1.40423,0.63052,0.80057,0.70954,0.49165,1.06065,1.03781,1.61499,0.008581,0.008581,0.008581
45,4205.47,0.93452,1.15263,1.41131,0.66633,0.77914,0.71333,0.49455,1.04877,1.09199,1.61747,0.008548,0.008548,0.008548
46,4300.15,0.926,1.14217,1.40629,0.62699,0.80069,0.73866,0.50346,1.05225,1.0099,1.61207,0.008515,0.008515,0.008515
47,4394.73,0.93551,1.13727,1.40762,0.63913,0.80017,0.71888,0.49663,1.064,1.04887,1.60307,0.008482,0.008482,0.008482
48,4490.89,0.90434,1.12397,1.38866,0.63751,0.79927,0.71854,0.48353,1.11091,1.07923,1.64339,0.008449,0.008449,0.008449
49,4585.98,0.91032,1.10817,1.39743,0.60938,0.79814,0.72055,0.49915,1.07791,1.01808,1.61446,0.008416,0.008416,0.008416
50,4679.9,0.90323,1.11383,1.38584,0.6879,0.80078,0.72998,0.50207,1.04688,1.00175,1.60058,0.008383,0.008383,0.008383
51,4774.86,0.898,1.09315,1.38215,0.62688,0.81752,0.7284,0.50364,1.08475,0.99329,1.64425,0.00835,0.00835,0.00835
52,4867.3,0.89972,1.09894,1.38881,0.65797,0.78782,0.72566,0.51071,1.04631,1.00677,1.60013,0.008317,0.008317,0.008317
53,4959.75,0.89933,1.09501,1.38784,0.59886,0.81574,0.71916,0.5034,1.07027,1.02716,1.61502,0.008284,0.008284,0.008284
54,5053.09,0.89982,1.08027,1.38191,0.60558,0.80202,0.71681,0.48354,1.10288,1.02676,1.64777,0.008251,0.008251,0.008251
55,5146.29,0.89989,1.08449,1.38312,0.63951,0.8004,0.73568,0.52075,1.03006,0.96611,1.60628,0.008218,0.008218,0.008218
56,5238.83,0.89687,1.08348,1.37755,0.63474,0.78286,0.71925,0.4969,1.05563,0.97993,1.59939,0.008185,0.008185,0.008185
57,5330.96,0.88988,1.07253,1.37274,0.6371,0.81472,0.72285,0.50629,1.05676,1.00677,1.5954,0.008152,0.008152,0.008152
58,5424.9,0.89474,1.08255,1.37066,0.62579,0.80862,0.73208,0.51207,1.03778,0.99016,1.59503,0.008119,0.008119,0.008119
59,5516.8,0.88279,1.05461,1.37294,0.62696,0.81941,0.72698,0.50996,1.05597,0.99762,1.6046,0.008086,0.008086,0.008086
60,5609.43,0.88096,1.03921,1.36219,0.66605,0.83323,0.73637,0.52324,1.0411,0.99405,1.5979,0.008053,0.008053,0.008053
61,5702.5,0.87063,1.05385,1.36108,0.58864,0.79438,0.70475,0.49686,1.04113,1.02364,1.60555,0.00802,0.00802,0.00802
62,5796.04,0.87503,1.03074,1.36302,0.66763,0.77885,0.73386,0.51598,1.07031,0.97927,1.6106,0.007987,0.007987,0.007987
63,5887.86,0.87241,1.04461,1.37183,0.62481,0.7999,0.73362,0.50406,1.08053,0.98536,1.6352,0.007954,0.007954,0.007954
64,5984.34,0.86645,1.03085,1.35847,0.65529,0.83281,0.73919,0.51883,1.05675,0.95258,1.60499,0.007921,0.007921,0.007921
65,6076.22,0.87942,1.05036,1.367,0.67234,0.77602,0.73257,0.51557,1.04679,0.98838,1.58819,0.007888,0.007888,0.007888
66,6170.46,0.84814,1.02264,1.33667,0.65268,0.79913,0.71803,0.50749,1.03813,1.01623,1.58963,0.007855,0.007855,0.007855
67,6266.51,0.8812,1.03223,1.36452,0.66371,0.80587,0.73043,0.51646,1.03693,0.9892,1.57773,0.007822,0.007822,0.007822
68,6360.13,0.8551,1.02475,1.3474,0.66286,0.816,0.72981,0.50605,1.06696,0.99231,1.60447,0.007789,0.007789,0.007789
69,6455.63,0.85452,1.02513,1.34261,0.65626,0.833,0.74673,0.51882,1.07037,0.97482,1.61436,0.007756,0.007756,0.007756
70,6550.19,0.84908,1.01928,1.34342,0.67893,0.82455,0.74459,0.51644,1.04797,0.94804,1.5984,0.007723,0.007723,0.007723
